DATE,SPCS20RSA
2018-07-01,211.702654289203
2018-08-01,212.104900025954
2018-09-01,212.72084624116002
2018-10-01,213.415039165439
2018-11-01,213.78655592862702
2018-12-01,214.085598378783
2019-01-01,214.261636659602
2019-02-01,214.77590006300701
2019-03-01,215.065240978233
2019-04-01,215.40475073328201
2019-05-01,215.721125366985
2019-06-01,215.915346805657
2019-07-01,216.026303816851
2019-08-01,216.435102379676
2019-09-01,217.17896230375703
2019-10-01,218.19751384488498
2019-11-01,219.24269148875703
2019-12-01,220.131590063029
2020-01-01,220.804378909695
